surface,id,capability,scope,headless_mapping,coverage,decision,remains_in_adtk,upstream_value,credit_path,priority,effort,evidence,constraint,next_validation,source
Headless MCP tool,list_agent_review_tests,List Agent Review Tests — Agent regression checks and review results,Agent capability,No dedicated current ADTK agent tool; agent regression checks and review results,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/agent_reviews.py
Headless MCP tool,list_agent_reviews,List Agent Reviews — Agent regression checks and review results,Agent capability,No dedicated current ADTK agent tool; agent regression checks and review results,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/agent_reviews.py
Headless MCP tool,list_agent_tools,List Agent Tools — Inspect/provisioned-agent configuration and tools,Agent capability,No dedicated current ADTK agent tool; inspect/provisioned-agent configuration and tools,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P0,Medium,Live read succeeded; see evidence JSON (admin and/or non-admin scope differs),DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/agents.py
Headless MCP tool,list_agent_versions,List Agent Versions — Inspect/provisioned-agent configuration and tools,Agent capability,No dedicated current ADTK agent tool; inspect/provisioned-agent configuration and tools,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P0,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/agents.py
Headless MCP tool,list_agents,List Agents — Inspect/provisioned-agent configuration and tools,Agent capability,No dedicated current ADTK agent tool; inspect/provisioned-agent configuration and tools,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P0,Medium,Live read succeeded; see evidence JSON (admin and/or non-admin scope differs),DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/agents.py
Headless MCP tool,list_cobuild_conversations,List Cobuild Conversations — Delegate inference and project authoring to Cobuild,Agent capability,No dedicated current ADTK agent tool; delegate inference and project authoring to cobuild,New capability,Pilot Cobuild path,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,Cobuild inference on start/send/answer; status/list do not initiate inference,P0,Large,Source inspected; not exercised live,No exposed ADTK tool invocation or cancel tool; retained state is process-local; no generic completion endpoint,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/cobuild.py
Headless MCP tool,list_code_envs,List Code Environments — Environment inventory and constrained lifecycle,Agent capability,config domain:code-envs; action:code-env-consolidate,Partial overlap,Reuse with adapter,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Live read succeeded; see evidence JSON (admin and/or non-admin scope differs),DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/code_environments.py
Headless MCP tool,list_connections,List Connections — Connection inspection and testing,Agent capability,tool:db_health; config domain:connections; curated read:db-health-connections; curated read:connections-audit,Partial overlap,Reuse with adapter,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Live read succeeded; see evidence JSON (admin and/or non-admin scope differs),DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/connections.py
Headless MCP tool,list_container_exec_configs,List Container Execution Configs — Read execution configuration,Agent capability,tool:k8s_health; config domain:clusters; config domain:settings; curated read:container-execs; action:k8s-exec-config-tune,Partial overlap,Reuse with adapter,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Live read succeeded; see evidence JSON (admin and/or non-admin scope differs),DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/general_settings.py
Headless MCP tool,list_dashboards,List Dashboards — Inspect downstream presentation dependencies,Agent capability,No dedicated current ADTK agent tool; inspect downstream presentation dependencies,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P2,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/dashboards.py
Headless MCP tool,list_data_collection_objects,List Data Collection Objects — Discover catalog data for broader investigations,Agent capability,No dedicated current ADTK agent tool; discover catalog data for broader investigations,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P2,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/data_collections.py
Headless MCP tool,list_data_collections,List Data Collections — Discover catalog data for broader investigations,Agent capability,No dedicated current ADTK agent tool; discover catalog data for broader investigations,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P2,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/data_collections.py
Headless MCP tool,list_data_quality_rules,List Data Quality Rules — Add data-quality incidents to operational triage,Agent capability,No dedicated current ADTK agent tool; add data-quality incidents to operational triage,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/data_quality.py
Headless MCP tool,list_datasets,"List Datasets — Ground incidents with schema, metrics and bounded samples",Agent capability,config domain:connections-usage; config domain:datasets,Partial overlap,Reuse with adapter,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Live read succeeded; see evidence JSON (admin and/or non-admin scope differs),DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/datasets.py
Headless MCP tool,list_evaluation_stores,List Evaluation Stores — Inspect evaluation coverage for agents/models,Agent capability,No dedicated current ADTK agent tool; inspect evaluation coverage for agents/models,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/evaluation_stores.py
Headless MCP tool,list_flow_zones,List Flow Zones — Dependency graph and impact analysis,Agent capability,No dedicated current ADTK agent tool; dependency graph and impact analysis,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/flow.py
Headless MCP tool,list_groups,List Groups — Group inventory and access administration,Agent capability,config domain:users,Partial overlap,Reuse with adapter,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Live read succeeded; see evidence JSON (admin and/or non-admin scope differs),DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/groups.py
Headless MCP tool,list_insights,List Insights — Inspect downstream insight configuration,Agent capability,No dedicated current ADTK agent tool; inspect downstream insight configuration,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P2,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/insights.py
Headless MCP tool,list_instances,List Dataiku Instances — Local MCP connection profiles,Agent capability,tool:list_hosts,Partial overlap,Reuse with adapter,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,Local profiles do not replace host/identity isolation or ADTK fleet registry,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/instances.py
Headless MCP tool,list_jobs,List Jobs — Job-level troubleshooting and verified execution,Agent capability,config domain:jobs,Partial overlap,Reuse with adapter,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/jobs.py
Headless MCP tool,list_knowledge_banks,List Knowledge Banks — Agent dependency and retrieval troubleshooting,Agent capability,No dedicated current ADTK agent tool; agent dependency and retrieval troubleshooting,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/llms_and_knowledge_banks.py
Headless MCP tool,list_llms,List LLMs — Agent dependency and retrieval troubleshooting,Agent capability,config domain:llms; curated read:llm-audit,Partial overlap,Reuse with adapter,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/llms_and_knowledge_banks.py
Headless MCP tool,list_managed_folders,List Managed Folders — Inspect file dependencies; publish bounded diagnostic artifacts,Agent capability,No dedicated current ADTK agent tool; inspect file dependencies; publish bounded diagnostic artifacts,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/managed_folders.py
Headless MCP tool,list_messaging_channels,List Messaging Channels — Automation history and execution,Agent capability,action:notification-send,Partial overlap,Reuse with adapter,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/scenarios.py
Headless MCP tool,list_ml_analyses,List ML Analyses — ML workload configuration for incident diagnosis,Agent capability,No dedicated current ADTK agent tool; ml workload configuration for incident diagnosis,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P2,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/machine_learning/analyses.py
Headless MCP tool,list_ml_analysis_models,List ML Analysis Models — ML workload configuration for incident diagnosis,Agent capability,No dedicated current ADTK agent tool; ml workload configuration for incident diagnosis,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P2,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/machine_learning/analyses.py
Headless MCP tool,list_plugin_usages,"List Plugin Deletion Blockers — Plugin inventory, usages and lifecycle",Agent capability,config domain:plugins,Partial overlap,Reuse with adapter,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/plugins.py
Headless MCP tool,list_plugins,"List Installed Plugins — Plugin inventory, usages and lifecycle",Agent capability,config domain:plugins; curated read:version,Partial overlap,Reuse with adapter,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Live read succeeded; see evidence JSON (admin and/or non-admin scope differs),DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/plugins.py
Headless MCP tool,list_project_folders,List Project Folders — Project organization and governance,Agent capability,No dedicated current ADTK agent tool; project organization and governance,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P2,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/project_folders.py
Headless MCP tool,list_project_library,List Project Library — Inspect project code; controlled file handoff,Agent capability,No dedicated current ADTK agent tool; inspect project code; controlled file handoff,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/project_libraries.py
Headless MCP tool,list_projects,List Projects — Project discovery and selected settings writes,Agent capability,config domain:projects; config domain:adoption,Partial overlap,Reuse with adapter,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Live read succeeded; see evidence JSON (admin and/or non-admin scope differs),DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/projects.py
Headless MCP tool,list_recipes,List Recipes — Explain failed transformations and dependencies,Agent capability,No dedicated current ADTK agent tool; explain failed transformations and dependencies,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Live read succeeded; see evidence JSON (admin and/or non-admin scope differs),DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/recipes.py
Headless MCP tool,list_retrieval_augmented_llms,List Retrieval-Augmented LLMs — Agent dependency and retrieval troubleshooting,Agent capability,No dedicated current ADTK agent tool; agent dependency and retrieval troubleshooting,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/llms_and_knowledge_banks.py
Headless MCP tool,list_saved_model_versions,List Saved Model Versions — Model version and deployment lineage,Agent capability,No dedicated current ADTK agent tool; model version and deployment lineage,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P2,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/machine_learning/saved_models.py
Headless MCP tool,list_saved_models,List Saved Models — Model version and deployment lineage,Agent capability,No dedicated current ADTK agent tool; model version and deployment lineage,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P2,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/machine_learning/saved_models.py
Headless MCP tool,list_scenarios,List Scenarios — Automation history and execution,Agent capability,config domain:scenarios,Partial overlap,Reuse with adapter,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Live read succeeded; see evidence JSON (admin and/or non-admin scope differs),DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/scenarios.py
Headless MCP tool,list_semantic_models,List Semantic Models — Inspect downstream semantic configuration,Agent capability,No dedicated current ADTK agent tool; inspect downstream semantic configuration,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P2,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/semantic_models.py
Headless MCP tool,list_shared_objects,List Shared Objects — Dependency and deletion impact analysis,Agent capability,config domain:datasets,Partial overlap,Reuse with adapter,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/cross_project_sharing.py
Headless MCP tool,list_spark_configs,List Spark Configs — Read execution configuration,Agent capability,config domain:settings,Partial overlap,Reuse with adapter,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/general_settings.py
Headless MCP tool,list_users,List Users — Account inventory and controlled administration,Agent capability,config domain:users; config domain:adoption; curated read:users-churn,Partial overlap,Reuse with adapter,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Live read succeeded; see evidence JSON (admin and/or non-admin scope differs),DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/users.py
Headless MCP tool,list_webapps,List Webapps — Application configuration and backend state,Agent capability,config domain:webapps,Partial overlap,Reuse with adapter,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/webapps.py
Headless MCP tool,list_wiki_articles,List Wiki Articles — Retrieve or inspect project runbooks,Agent capability,No dedicated current ADTK agent tool; retrieve or inspect project runbooks,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/wikis.py
Headless MCP tool,move_project_to_folder,Move Project to Folder — Project organization and governance,Agent capability,No dedicated current ADTK agent tool; project organization and governance,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P2,Medium,Source inspected; not exercised live,Keep ADTK approval/audit around writes or executions; actual scope follows tool schema,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/project_folders.py
Headless MCP tool,read_project_library_file,Read Project Library File — Inspect project code; controlled file handoff,Agent capability,No dedicated current ADTK agent tool; inspect project code; controlled file handoff,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked; bound and redact data entering inference,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/project_libraries.py
Headless MCP tool,run_recipe,Run Recipe — Job-level troubleshooting and verified execution,Agent capability,No dedicated current ADTK agent tool; job-level troubleshooting and verified execution,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,Keep ADTK approval/audit around writes or executions; actual scope follows tool schema,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/jobs.py
Headless MCP tool,run_scenario,Run Scenario — Automation history and execution,Agent capability,action:scenario-run,Partial overlap,Reuse with adapter,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,Keep ADTK approval/audit around writes or executions; actual scope follows tool schema,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/scenarios.py
Headless MCP tool,search_knowledge_bank,Search Knowledge Bank — Agent dependency and retrieval troubleshooting,Agent capability,No dedicated current ADTK agent tool; agent dependency and retrieval troubleshooting,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked; bound and redact data entering inference,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/llms_and_knowledge_banks.py
Headless MCP tool,search_project_library,Search Project Library — Inspect project code; controlled file handoff,Agent capability,No dedicated current ADTK agent tool; inspect project code; controlled file handoff,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/project_libraries.py
Headless MCP tool,send_cobuild_message,Send Cobuild Message — Delegate inference and project authoring to Cobuild,Agent capability,No dedicated current ADTK agent tool; delegate inference and project authoring to cobuild,New capability,Pilot Cobuild path,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,Cobuild inference on start/send/answer; status/list do not initiate inference,P0,Large,Live TAM read/create/status tests; execution path stalled; debit not measured,No exposed ADTK tool invocation or cancel tool; retained state is process-local; no generic completion endpoint,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/cobuild.py
